trip_id,stop_name,Arrival Time
17285559,UTC Transit Center,06:07:22
17285559,UTC Transit Center,06:12:45
17290017,UTC Transit Center,06:11:11
17285581,UTC Transit Center,06:02:18
17285581,UTC Transit Center,06:27:49
17290045,UTC Transit Center,06:23:18
17285560,UTC Transit Center,06:22:31
17285560,UTC Transit Center,06:41:01
17290018,UTC Transit Center,06:45:18
17285577,UTC Transit Center,06:32:00
17285577,UTC Transit Center,07:02:27
17290046,UTC Transit Center,06:57:27
17285561,UTC Transit Center,06:48:38
17285561,UTC Transit Center,07:20:12
17290019,UTC Transit Center,07:15:13
17285670,UTC Transit Center,07:05:19
17285670,UTC Transit Center,07:32:27
17290047,UTC Transit Center,07:25:01
17285656,UTC Transit Center,07:20:59
17285656,UTC Transit Center,07:47:47
17290020,UTC Transit Center,07:49:20
17285634,UTC Transit Center,08:09:29
17290048,UTC Transit Center,07:56:56
17285606,UTC Transit Center,08:18:31
17290021,UTC Transit Center,07:50:48
17285563,UTC Transit Center,08:33:29
17290049,UTC Transit Center,08:30:02
17285700,UTC Transit Center,08:45:33
17290022,UTC Transit Center,08:15:19
17285721,UTC Transit Center,09:04:22
17290050,UTC Transit Center,09:04:55
17285662,UTC Transit Center,09:13:50
17290023,UTC Transit Center,08:54:07
17290023,UTC Transit Center,09:18:19
17285604,UTC Transit Center,09:29:48
17290051,UTC Transit Center,09:33:53
17285580,UTC Transit Center,09:45:58
17290073,UTC Transit Center,09:21:57
17285565,UTC Transit Center,09:55:57
17285699,UTC Transit Center,10:04:23
17285671,UTC Transit Center,10:11:39
17290099,UTC Transit Center,09:49:13
17290099,UTC Transit Center,10:19:34
17285664,UTC Transit Center,10:39:32
17285626,UTC Transit Center,10:48:21
17290053,UTC Transit Center,10:50:42
17285583,UTC Transit Center,11:05:36
17285567,UTC Transit Center,11:12:51
17290026,UTC Transit Center,11:16:01
17285711,UTC Transit Center,11:24:33
17285682,UTC Transit Center,11:35:07
17285724,UTC Transit Center,11:47:52
17290130,UTC Transit Center,11:54:18
17285666,UTC Transit Center,11:55:26
17285628,UTC Transit Center,12:06:48
17285609,UTC Transit Center,12:17:03
17290077,UTC Transit Center,12:21:20
17285587,UTC Transit Center,12:25:57
17285569,UTC Transit Center,12:35:41
17285713,UTC Transit Center,12:47:42
17290103,UTC Transit Center,12:50:04
17285689,UTC Transit Center,12:53:05
17285725,UTC Transit Center,13:04:03
17285685,UTC Transit Center,13:24:01
17290057,UTC Transit Center,13:16:31
17285630,UTC Transit Center,13:25:22
17285611,UTC Transit Center,13:37:36
17285589,UTC Transit Center,13:46:53
17290030,UTC Transit Center,13:52:12
17285571,UTC Transit Center,13:52:03
17285704,UTC Transit Center,14:04:44
17285695,UTC Transit Center,14:17:14
17290134,UTC Transit Center,14:14:46
17285728,UTC Transit Center,14:33:31
17285678,UTC Transit Center,14:34:42
17285635,UTC Transit Center,14:45:09
17290081,UTC Transit Center,14:52:57
17285603,UTC Transit Center,14:55:50
17285584,UTC Transit Center,15:06:09
17285573,UTC Transit Center,15:16:51
17290107,UTC Transit Center,15:18:48
17285709,UTC Transit Center,15:34:02
17285690,UTC Transit Center,15:36:56
17285730,UTC Transit Center,15:47:52
17290061,UTC Transit Center,15:47:50
17285680,UTC Transit Center,15:56:10
17285632,UTC Transit Center,16:07:14
17285614,UTC Transit Center,16:16:49
17290034,UTC Transit Center,16:23:07
17285591,UTC Transit Center,16:32:03
17285575,UTC Transit Center,16:34:08
17285714,UTC Transit Center,16:44:29
17290138,UTC Transit Center,16:59:15
17285692,UTC Transit Center,16:56:55
17285734,UTC Transit Center,17:04:39
17285683,UTC Transit Center,17:19:19
17290085,UTC Transit Center,17:21:40
17285640,UTC Transit Center,17:26:38
17285616,UTC Transit Center,17:36:52
17285595,UTC Transit Center,17:46:37
17290111,UTC Transit Center,17:52:16
17285594,UTC Transit Center,18:01:11
17285705,UTC Transit Center,18:03:40
17285693,UTC Transit Center,18:19:38
17290065,UTC Transit Center,18:28:28
17285735,UTC Transit Center,18:24:04
17285675,UTC Transit Center,18:43:29
17285625,UTC Transit Center,18:46:00
17290038,UTC Transit Center,18:49:26
17285617,UTC Transit Center,18:56:30
17285598,UTC Transit Center,19:11:15
17285599,UTC Transit Center,19:18:06
17290142,UTC Transit Center,19:17:48
17285619,UTC Transit Center,19:34:27
17290067,UTC Transit Center,19:40:20
17285731,UTC Transit Center,19:50:06
17290089,UTC Transit Center,19:46:50
17285624,UTC Transit Center,20:06:02
17290040,UTC Transit Center,20:08:56
17285622,UTC Transit Center,20:18:24
17290115,UTC Transit Center,20:20:00
17285642,UTC Transit Center,20:34:01
17285643,UTC Transit Center,20:51:21
17285732,UTC Transit Center,20:34:29
17285732,UTC Transit Center,21:04:58
17285648,UTC Transit Center,20:53:19
17285648,UTC Transit Center,21:19:09
17290070,UTC Transit Center,21:21:29
17285649,UTC Transit Center,21:06:20
17285649,UTC Transit Center,21:39:48
17290146,UTC Transit Center,21:32:35
17285650,UTC Transit Center,21:23:33
17285650,UTC Transit Center,21:47:15
17290071,UTC Transit Center,21:44:04
17285651,UTC Transit Center,21:36:18
17285651,UTC Transit Center,22:02:29
17290147,UTC Transit Center,22:01:17
17285729,UTC Transit Center,21:47:38
17285729,UTC Transit Center,22:16:51
17290072,UTC Transit Center,22:13:22
17285655,UTC Transit Center,22:04:34
17285655,UTC Transit Center,22:26:42
17285697,UTC Transit Center,22:22:05
17285697,UTC Transit Center,22:46:50
17285698,UTC Transit Center,22:36:41
17285698,UTC Transit Center,22:59:19
17285716,UTC Transit Center,22:49:14
17285716,UTC Transit Center,23:17:31
17285717,UTC Transit Center,23:06:37
17285717,UTC Transit Center,23:32:23
17285740,UTC Transit Center,23:23:14
17285740,UTC Transit Center,23:46:35
17285741,UTC Transit Center,23:37:41
17285742,UTC Transit Center,23:53:00
