stop_id,stop_name,stop_lat,stop_lon
94048,Fashion Valley Transit Center,32.76565186,-117.16897229
13510,Hotel Circle South & Bachman Pl,32.76065348,-117.16733599
10478,University Av & 7th Av,32.74826766,-117.15892959
13391,University Av & 8th Av,32.74830807,-117.15754773
10106,University Av & 10th Av,32.74831789,-117.15546302
10111,University Av & Vermont St,32.74834756,-117.15366473
10114,University Av & Richmond St,32.74836182,-117.15133939
10494,University Av & Herbert St,32.74835185,-117.14893899
12804,Park Bl & University Av,32.74893333,-117.14608276
12453,Park Bl & Polk Av,32.75205263,-117.14611774
12454,Park Bl & Howard Av,32.75389407,-117.14612671
10502,El Cajon Bl & Park Bl,32.75512019,-117.14570983
10129,El Cajon Bl & Alabama St,32.75513971,-117.14263625
10517,El Cajon Bl & Louisiana St,32.75514164,-117.1397056
10139,El Cajon Bl & Arizona St,32.7551642,-117.13771844
10533,El Cajon Bl & Oregon St,32.75516331,-117.13478126
10150,El Cajon Bl & Utah St,32.75517721,-117.13283955
10543,El Cajon Bl & 30th St,32.75521009,-117.12977586
10548,El Cajon Bl & Illinois St,32.75519125,-117.12740447
10189,El Cajon Bl & 33rd St,32.75515457,-117.12249906
10196,El Cajon Bl & 35th St,32.75513002,-117.11818577
10201,El Cajon Bl & 36th St,32.75511258,-117.11558249
10204,El Cajon Bl & 37th St,32.75509992,-117.11385942
13485,El Cajon Bl & I-15 Transit Plaza,32.75502129,-117.10858608
13528,El Cajon Bl & Marlborough Av,32.75503613,-117.10565882
13531,El Cajon Bl & Copeland Av,32.75503113,-117.10360309
10609,El Cajon Bl & 43rd St,32.75501257,-117.1015147
10612,El Cajon Bl & Fairmount Av,32.75500376,-117.1004022
10620,El Cajon Bl & Chamoune Av,32.75535434,-117.09670339
10623,El Cajon Bl & Menlo Av,32.75572275,-117.09416072
88979,El Cajon Bl & Euclid Av,32.7560106,-117.09185504
10247,El Cajon Bl & 50th St,32.75669001,-117.08692943
10639,El Cajon Bl & 52nd St,32.75724196,-117.0829403
10257,El Cajon Bl & 54th St,32.7576761,-117.0796949
10260,El Cajon Bl & Dayton St,32.75814842,-117.0768922
10655,El Cajon Bl & 56th St,32.75841879,-117.0746861
10659,El Cajon Bl & 58th St,32.75871553,-117.07264287
10665,El Cajon Bl & 59th St,32.75972655,-117.07022895
10673,El Cajon Bl & College Av,32.76150228,-117.06646887
10679,El Cajon Bl & 63rd St,32.76373731,-117.06264457
10682,El Cajon Bl & Art St,32.76504358,-117.06044456
10688,El Cajon Bl & Rolando Bl,32.76703206,-117.0568877
10290,El Cajon Bl & Montezuma Rd,32.76813892,-117.05448076
10691,El Cajon Bl & 68th St,32.76855582,-117.05081175
10697,El Cajon Bl & 70th St,32.76862142,-117.04662229
10303,El Cajon Bl & 73rd St,32.76872907,-117.04056588
10306,El Cajon Bl & Jessie Av,32.76863289,-117.03798527
10310,El Cajon Bl & Parks Av,32.76819913,-117.03358965
12240,La Mesa Bl & Lee Av,32.76802897,-117.02964535
13161,La Mesa Bl & Culowee St,32.76621252,-117.02742044
10320,University Av & Allison Av,32.76577668,-117.02504838
13410,Allison Av & Date Av,32.76615486,-117.02215649
11412,El Cajon Bl & College Av,32.76121435,-117.06761447
11033,El Cajon Bl & 59th St,32.75990727,-117.07033147
11406,El Cajon Bl & Alice St,32.75915209,-117.07188579
11399,El Cajon Bl & 56th St,32.75854263,-117.07507434
11025,El Cajon Bl & Dayton St,32.75818964,-117.07771229
11389,El Cajon Bl & 54th St,32.75786887,-117.08004802
11013,El Cajon Bl & 52nd St,32.75740124,-117.08336792
11010,El Cajon Bl & Altadena Av,32.75707862,-117.08555396
11377,El Cajon Bl & Winona Av,32.7567288,-117.08809752
88980,El Cajon Bl & Euclid Av,32.75619517,-117.09203473
10607,El Cajon Bl & Menlo Av,32.75587673,-117.09475256
11369,El Cajon Bl & Chamoune Av,32.75546769,-117.09728736
11364,El Cajon Bl & Highland Av,32.75521584,-117.09953904
10986,El Cajon Bl & 43rd St,32.75528888,-117.10170277
11355,El Cajon Bl & Copeland Av,32.75529902,-117.10421068
11351,El Cajon Bl & Marlborough Av,32.75531149,-117.10637709
13484,El Cajon Bl & I-15 Transit Plaza,32.7553764,-117.1089018
11344,El Cajon Bl & 38th St,32.75534847,-117.11133128
10960,El Cajon Bl & 37th St,32.7553639,-117.11344892
11333,El Cajon Bl & 36th St,32.75538371,-117.11611306
10942,El Cajon Bl & 33rd St,32.75542033,-117.1218414
11303,El Cajon Bl & Illinois St,32.75549746,-117.12801902
11296,El Cajon Bl & 30th St,32.75549333,-117.1305268
11290,El Cajon Bl & Utah St,32.75547964,-117.13282632
13430,El Cajon Bl & Oregon St,32.75547827,-117.1349373
10894,El Cajon Bl & Texas St,32.75545775,-117.13855734
11270,El Cajon Bl & Alabama St,32.75544263,-117.14293531
11671,Park Bl & Howard Av,32.75383378,-117.14663253
11670,Park Bl & Polk Av,32.75256932,-117.1465003
11675,Park Bl & University Av,32.74858136,-117.14648249
10865,University Av & Normal St,32.74849758,-117.149308
10862,University Av & Richmond St,32.74867435,-117.15107263
11254,University Av & Vermont St,32.74862428,-117.15378466
10852,University Av & 9th Av,32.74849414,-117.15616411
10847,University Av & 7th Av,32.74847449,-117.15808935
11225,Fashion Valley Rd & Hotel Circle N,32.76165904,-117.16923641
13170,La Mesa Bl & University Av,32.7652285,-117.02655622
11461,La Mesa Bl & Culowee St,32.76700504,-117.02770395
11080,La Mesa Bl & El Cajon Bl,32.76809885,-117.02946054
11079,El Cajon Bl & Parks Av,32.76839032,-117.03395245
11065,El Cajon Bl & Keeney St,32.76890444,-117.03807228
11445,El Cajon Bl & 73rd St,32.76894484,-117.04077927
